Model,RMSE_mean,RMSE_std,MAE_mean,R2_mean,Acc_mean,F1_mean,Sharpe_mean,Sharpe_std,Hit_mean
AR(1),3.0459604263305664,0.0006287097930908203,1.6852999925613403,0.027058571577072144,0.5490952380951811,0.5468284055997608,5.912857615232266,2.1731529415851196,0.8642857142857143
LSTM,3.099215865135193,0.0003942251205444336,1.7217036485671997,-0.007260382175445557,0.4965714285713761,0.5130187089116391,-1.6406446921075708,0.4323346400079595,0.2738095238095238
XGBoost,3.2014998071811895,0.10645494709962944,1.8635225658783368,-0.07606854264930851,0.5233333333332786,0.5312955760317044,0.8049438217572077,0.5155270716191512,0.5166666666666666
V-STGCN,3.0940216779708862,0.0012742280960083008,1.7179831862449646,-0.0038866400718688965,0.5025714285713754,0.4716216215720883,0.24730174311684713,0.5663076396060926,0.5
SC-STGCN,3.0789804458618164,0.0092926025390625,1.711198627948761,0.005844056606292725,0.5485714285713703,0.5379726133895841,3.0159037966218323,0.3083022045763808,0.6047619047619048
