Model,clf_accuracy,clf_macro_f1,clf_weighted_f1,clf_down_p,clf_down_r,clf_down_f1,clf_stbl_p,clf_stbl_r,clf_stbl_f1,clf_up_p,clf_up_r,clf_up_f1,prt_sharpe,prt_mean_ret,prt_std_ret,prt_max_dd,prt_hit,mcnemar_p
AR(1),0.3433333333333333,0.3306105101548178,0.37017128173382685,0.5826078436861406,0.3185079666561148,0.404303282052966,0.13567571621418928,0.6382734912146677,0.22366957795378106,0.4452293202293202,0.3103911042944785,0.3638586704577062,4.35496660796101,105.19418394991007,168.2492314755069,-0.0020258234857399304,0.7214285714285715,0.02917660744072348
LSTM,0.34885714285714287,0.3207985678995159,0.3790840913696028,0.5162455710761126,0.36266751081565896,0.4186866678511699,0.10416972769125282,0.43239113827349124,0.1660597664753612,0.4884445240687403,0.3107068747744497,0.37764926937201654,0.30971293565560865,16.489027772573685,116.87367208899474,-0.004917946724860789,0.4857142857142857,0.1671406555688072
XGBoost,0.44133333333333336,0.3844350848623191,0.44764582730287883,0.5258962011771,0.44945657908620873,0.48468105509048437,0.17727272727272725,0.2589763177998472,0.21045953049941085,0.44298784986964435,0.4744225911223385,0.458164668997062,2.901949479197152,56.17170298820743,141.707882665476,-0.0022271132934322813,0.5476190476190476,0.22351557827641683
Informer,0.4149047619047619,0.3571641524492437,0.42531874185791974,0.506904761904762,0.465917484436003,0.48498871079516237,0.13485339967877052,0.25515660809778457,0.17421052631578948,0.43698209542208577,0.3946792674124865,0.41229322023677917,0.9336018268048659,15.603929890690397,101.59232439816984,-0.0034632673427774097,0.4809523809523809,0.044208682843037084
Autoformer,0.3857142857142857,0.3481477704649606,0.3626147586109574,0.4841716549033622,0.3249135147601476,0.37733742081217414,0.30261949639940067,0.5549014238773274,0.3861011810065694,0.3610916561609936,0.2488429172510519,0.28100470957613816,0.45316151663334975,21.653773630646665,163.37598820995206,-0.007718342221483099,0.55,0.042514635390439814
TimesNet,0.3793809523809524,0.33077258937007914,0.3765386313616488,0.4914772727272727,0.43531906689801425,0.46050010341711933,0.16387621812150113,0.34916512059369204,0.20785368131248894,0.38518826199892353,0.3006542871385842,0.3239639833806291,-0.4437726779903751,-4.277720173323406,109.85876023414812,-0.003998783564846287,0.5333333333333333,0.12889491097314193
V-STGCN,0.3012380952380952,0.26105265416881857,0.28092912381692114,0.5179214079174554,0.36884035032183177,0.38566739606126915,0.13056306306306306,0.6447669977081742,0.21706511393538996,0.3194519804666305,0.150284193431974,0.1804254525097966,0.06869500470679957,2.2504084362961967,250.75155421702718,-0.008254318354451562,0.569047619047619,0.0035594915991977727
SC-STGCN,0.4063809523809524,0.3505158340825294,0.41728191950693694,0.5120323732211844,0.4698528151250214,0.4897005570487666,0.11972573839662448,0.2586519625625771,0.159565898609353,0.44864536638508384,0.37020229440090646,0.4022810465894686,1.8994022809074473,26.18817300861804,158.77784906761875,-0.008801412729244895,0.5380952380952382,
