date,corr_upstream,corr_downstream,corr_bidirectional,corr_unconnected
2016-01-08,-0.03458093851804733,0.006478350143879652,0.08669378608465195,-0.01211447175592184
2016-01-15,-0.0346478670835495,0.000642223923932761,0.09586574882268906,-0.01168225146830082
2016-01-22,-0.05086251348257065,0.0067500220611691475,0.11147594451904297,-0.011034115217626095
2016-01-29,-0.050952766090631485,-0.0011961854761466384,0.13118936121463776,-0.011877023614943027
2016-02-05,-0.044937409460544586,-0.008033815771341324,0.14122523367404938,-0.01256407331675291
2016-02-12,-0.03071421943604946,-0.02592211589217186,0.14286229014396667,-0.012860164977610111
2016-02-19,-0.051711954176425934,-0.02347380667924881,0.16002753376960754,-0.012734041549265385
2016-02-26,-0.055761098861694336,-0.02976795844733715,0.15845049917697906,-0.012848838232457638
2016-03-04,-0.05093192681670189,-0.029179731383919716,0.14159736037254333,-0.01311015710234642
2016-03-11,-0.055520907044410706,-0.03489869460463524,0.1363683044910431,-0.01314390916377306
2016-03-18,-0.055001020431518555,-0.03795919939875603,0.13654695451259613,-0.012810383923351765
2016-03-25,-0.053842369467020035,-0.03563794866204262,0.1403351128101349,-0.01282527670264244
2016-04-01,-0.053737543523311615,-0.0409231074154377,0.14997927844524384,-0.011937150731682777
2016-04-08,-0.05587751790881157,-0.041473329067230225,0.1314948946237564,-0.011927707120776176
2016-04-15,-0.05794133245944977,-0.03862166404724121,0.14757707715034485,-0.012223915196955204
2016-04-22,-0.06153268367052078,-0.03900395333766937,0.15131326019763947,-0.01259773038327694
2016-04-29,-0.06884513795375824,-0.03606870397925377,0.15749940276145935,-0.012341595254838467
2016-05-06,-0.06422676146030426,-0.039568573236465454,0.1582525223493576,-0.01221765112131834
2016-05-13,-0.06242476403713226,-0.04167623072862625,0.16362357139587402,-0.012174325063824654
2016-05-20,-0.061751823872327805,-0.04172618314623833,0.16697925329208374,-0.012222439050674438
2016-05-27,-0.06105183809995651,-0.04274887964129448,0.1660734862089157,-0.012301813811063766
2016-06-03,-0.06017213314771652,-0.04146312177181244,0.16586561501026154,-0.012288122437894344
2016-06-10,-0.06029993295669556,-0.04075508564710617,0.16642998158931732,-0.011820390820503235
2016-06-17,-0.06706596910953522,-0.039867594838142395,0.16719157993793488,-0.010442852973937988
2016-06-24,-0.0660836473107338,-0.03398171067237854,0.17068691551685333,-0.010003214702010155
2016-07-01,-0.06517398357391357,-0.03378596901893616,0.16887927055358887,-0.009926293976604939
2016-07-08,-0.06445807963609695,-0.03878111019730568,0.17498570680618286,-0.009169384837150574
2016-07-15,-0.06385477632284164,-0.04105440154671669,0.17091968655586243,-0.008147853426635265
2016-07-22,-0.06481512635946274,-0.036682866513729095,0.16770920157432556,-0.008203133009374142
2016-07-29,-0.06390605866909027,-0.03625183552503586,0.1598391830921173,-0.00811447948217392
2016-08-05,-0.06540268659591675,-0.03744405880570412,0.16588318347930908,-0.008577214553952217
2016-08-12,-0.06631562858819962,-0.0396844744682312,0.1607571691274643,-0.008504079654812813
2016-08-19,-0.05906444787979126,-0.04196775704622269,0.15959432721138,-0.008061434142291546
2016-08-26,-0.0590939074754715,-0.04021195322275162,0.1531931608915329,-0.007945187389850616
2016-09-02,-0.05992184579372406,-0.044053662568330765,0.16526582837104797,-0.007751799188554287
2016-09-09,-0.06747095286846161,-0.04426368698477745,0.16624236106872559,-0.00736430985853076
2016-09-16,-0.0675550177693367,-0.04464783892035484,0.16606080532073975,-0.007230603136122227
2016-09-23,-0.06091124191880226,-0.04364485293626785,0.17510737478733063,-0.006853249855339527
2016-09-30,-0.055877987295389175,-0.041901927441358566,0.17562292516231537,-0.007084730546921492
2016-10-07,-0.056798387318849564,-0.047047775238752365,0.17794033885002136,-0.006391041446477175
2016-10-14,-0.05829968303442001,-0.049226269125938416,0.17729954421520233,-0.0063650463707745075
2016-10-21,-0.05851301550865173,-0.04766271263360977,0.17723803222179413,-0.006515102460980415
2016-10-28,-0.06005395948886871,-0.052759550511837006,0.185570627450943,-0.005621039308607578
2016-11-04,-0.062098581343889236,-0.05131300911307335,0.18491655588150024,-0.00521943811327219
2016-11-11,-0.06144582852721214,-0.04795410856604576,0.18516942858695984,-0.004834413528442383
2016-11-18,-0.05862757936120033,-0.04927467182278633,0.19108031690120697,-0.004505807533860207
2016-11-25,-0.06024554744362831,-0.049818191677331924,0.19452700018882751,-0.00422966992482543
2016-12-02,-0.06210292875766754,-0.05505296215415001,0.19858817756175995,-0.003989312332123518
2016-12-09,-0.06126463785767555,-0.06351301074028015,0.19572961330413818,-0.004122789949178696
2016-12-16,-0.05843831226229668,-0.06543684005737305,0.1978256106376648,-0.00425654835999012
2016-12-23,-0.056084632873535156,-0.0677044615149498,0.20536093413829803,-0.003972952254116535
2016-12-30,-0.057751577347517014,-0.07303513586521149,0.20830312371253967,-0.005965256132185459
2017-01-06,-0.055848605930805206,-0.07586155086755753,0.21546390652656555,-0.006078054197132587
2017-01-13,-0.05974298715591431,-0.0662536770105362,0.21735815703868866,-0.006297225132584572
2017-01-20,-0.05264749005436897,-0.0632704645395279,0.22442114353179932,-0.006429419852793217
2017-01-27,-0.05174386128783226,-0.05065561458468437,0.21432292461395264,-0.0062841856852173805
2017-02-03,-0.05065213516354561,-0.043474577367305756,0.2114104926586151,-0.006400027312338352
2017-02-10,-0.06024649366736412,-0.013583379797637463,0.20829415321350098,-0.006768860388547182
2017-02-17,-0.04601577669382095,-0.01941497251391411,0.20294395089149475,-0.00970066525042057
2017-02-24,-0.039367228746414185,-0.008539787493646145,0.206684872508049,-0.008241234347224236
2017-03-03,-0.04786797612905502,-0.010471003130078316,0.24758736789226532,-0.006151486653834581
2017-03-10,-0.04252149909734726,0.0025084163062274456,0.24521048367023468,-0.005083329044282436
2017-03-17,-0.044378139078617096,0.007678528316318989,0.2330549955368042,-0.005209293216466904
2017-03-24,-0.04250865429639816,0.007508372887969017,0.2241101711988449,-0.005452201701700687
2017-03-31,-0.04396452754735947,0.014494898729026318,0.21861307322978973,-0.006805954035371542
2017-04-07,-0.04542572796344757,0.014456178992986679,0.22365716099739075,-0.00677421735599637
2017-04-14,-0.042084816843271255,0.017320916056632996,0.2075776308774948,-0.006727284751832485
2017-04-21,-0.04160167649388313,0.014114627614617348,0.2117423266172409,-0.006352401338517666
2017-04-28,-0.020376959815621376,0.01771443337202072,0.19906848669052124,-0.005624101962894201
2017-05-05,-0.027266763150691986,0.020045991986989975,0.18157139420509338,-0.004027795512229204
2017-05-12,-0.028509294614195824,0.02040250226855278,0.17977535724639893,-0.0042490120977163315
2017-05-19,-0.03220402076840401,0.011339875869452953,0.1876733899116516,-0.004134584218263626
2017-05-26,-0.031099364161491394,0.012256328016519547,0.18275073170661926,-0.003294728696346283
2017-06-02,-0.03074047714471817,0.013590571470558643,0.17338034510612488,-0.0033094098325818777
2017-06-09,-0.03179548680782318,0.01570708118379116,0.1745266318321228,-0.003448840696364641
