Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Sharpe_mean,Sharpe_std,Hit_mean,Hit_std
AR(1),3.1615711053212485,0.7373935119237275,1.7122973203659058,0.3886340146560349,-0.00027559200922648114,0.05277086224630258,4.6458412653734555,0.7018958935528973,0.7725546058879392,0.08166865429641335
LSTM,3.202177127202352,0.7797123912003924,1.73733123143514,0.42367717908329594,-0.017955660820007324,0.010887657458780146,-0.21905782692420273,1.808745693632504,0.48148148148148145,0.06804883710824036
XGBoost,3.7482282446004245,0.4939653758454317,2.0448548869031513,0.2936861720469926,-0.5279966900842622,0.4764006080431106,0.6510513186060932,1.523753235136117,0.5460588793922128,0.09804139606195249
V-STGCN,3.1751524607340493,0.8012563968676296,1.7116767168045044,0.42456311448080825,0.003503104050954183,0.01852391131096537,2.528054682490202,1.6246373821970117,0.6471984805318138,0.09233533795542727
SC-STGCN,3.197377363840739,0.745594785390922,1.7405298550923665,0.3933257915544407,-0.02198779582977295,0.042844077677072955,3.6397240137061804,0.6194530940312385,0.6970560303893637,0.04767766520820973
