Model,Acc_mean,Acc_std,Prec_mean,Prec_std,Rec_mean,Rec_std,F1_mean,F1_std,AUC_mean,AUC_std,Brier_mean
AR(1),0.7079999999999254,0.011999999999971755,0.26999999999985286,0.029999999999932858,0.26999999999985286,0.029999999999932858,0.26999999994985285,0.029999999999932858,0.5278819727891156,0.010836139455782323,0.3019570857286453
LSTM,0.7999999999999161,3.047567258252265e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.5497656462585034,0.016742687074829954,0.16089336574077606
XGBoost,0.7775238095237281,0.0018095238095532373,0.21957671957617508,0.03439153439167575,0.044523809523787886,0.008809523809527677,0.07401725471874779,0.014137015224968873,0.5176046768707483,0.011303656462585077,0.18851465527388095
V-STGCN,0.7999999999999161,3.047567258252265e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.4967233843537415,0.019593282312925148,0.1721196472644806
SC-STGCN,0.7999999999999161,3.047567258252265e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.5313849773242629,0.010109467120181403,0.16017893701791763
