Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Accuracy_mean,F1_mean,Sharpe_mean,Sharpe_std,Hit_mean
AR(1),2.263158917427063,0.1366826295852661,1.303443431854248,0.10535657405853271,0.029843181371688843,0.011534243822097778,0.5538095238094661,0.5390026270780224,4.612187136533575,1.6893310602025313,0.780952380952381
LSTM,2.303191304206848,0.1253293752670288,1.331095814704895,0.09179902076721191,-0.005403280258178711,0.00010883808135986328,0.4989999999999477,0.4798836992296871,2.213138385758463,1.8994378425397873,0.6428571428571428
XGBoost,2.351346410989088,0.13784939721321887,1.383626908499985,0.10335432175998305,-0.047420884766528615,0.00873449927869585,0.5167142857142322,0.5204238403636385,2.582494403557815,0.1147350897457109,0.5357142857142857
V-STGCN,2.278603672981262,0.11635911464691162,1.3208653926849365,0.09185254573822021,0.01557689905166626,0.006719529628753662,0.5099999999999469,0.5312879707887544,3.333667991136729,0.2583519570508779,0.6738095238095239
SC-STGCN,2.2724337577819824,0.11155986785888672,1.3132534623146057,0.09059828519821167,0.020672589540481567,0.010559171438217163,0.5403809523808958,0.5471167265471919,3.9202004645552164,0.3588671104233945,0.7428571428571429
