Model,A_sharpe,B_sharpe,A_mean_ret,B_mean_ret,A_std_ret,B_std_ret,A_max_dd,B_max_dd,A_hit,B_hit,A_avg_active_pct,B_avg_active_pct
AR(1),5.9978861953111196,4.316146280328767,141.58494962964738,60.19573093299188,177.99433848684984,96.00786164873797,-0.0023025968407479613,-0.0011262868479121613,0.7595238095238095,0.7214285714285715,1.0,0.5611904761904762
LSTM,-0.04313030374743243,0.3684759984724326,40.07773138227918,11.86773588286368,171.4703005379586,71.61148824083607,-0.007841028793242,-0.002802916681577894,0.5761904761904761,0.4857142857142857,1.0,0.6034761904761904
XGBoost,2.2157022627290264,2.9050372591969866,80.5250333150228,48.1938030934368,273.829437949661,119.85134018305953,-0.0065096278059012525,-0.0019617868471709654,0.5476190476190476,0.5476190476190476,1.0,0.8627619047619046
Informer,1.5190209509544497,1.048675493000908,44.53306413832165,13.524400184599404,213.78010749999373,83.34155452485544,-0.006145820365700605,-0.0029010473754967347,0.5714285714285714,0.4809523809523809,1.0,0.8256190476190477
Autoformer,2.2688216991833885,0.5391039073395936,27.794725145612443,4.57390184356292,129.31432234523555,67.60697628703286,-0.0034786368011879842,-0.0031561324513614264,0.6071428571428572,0.55,1.0,0.5148571428571428
TimesNet,-1.2188824364709974,-0.3801057493913164,-34.65938708895729,-3.8706510282483,200.80968407341734,67.87755866447625,-0.009462409896907997,-0.0020303776115740413,0.569047619047619,0.5333333333333333,1.0,0.7303333333333334
V-STGCN,0.669783488853396,-0.25113839492309037,22.48281131471906,-9.32033022456185,302.0329077838852,139.59446868510898,-0.008545580390855956,-0.004682366861702092,0.5880952380952381,0.569047619047619,1.0,0.5292857142857144
SC-STGCN,1.3993078713688663,2.0634703119917868,50.09665359769548,27.108137102859843,276.82390388846704,129.78074072544004,-0.01005066980081476,-0.006116049297533066,0.5523809523809524,0.5380952380952382,1.0,0.7734285714285716
