Model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,sharpe_mean,sharpe_std,mean_ret_bp_mean,mean_ret_bp_std,std_ret_bp_mean,std_ret_bp_std,max_drawdown_mean,max_drawdown_std,hit_ratio_mean,hit_ratio_std,dm_stat,dm_pval
AR(1),3.999617338180542,0.2874295711517334,2.129737615585327,0.11173319816589355,0.018441766500473022,0.008726686239242554,0.5399523809523252,0.021380952380970764,0.48909082512563684,0.027744191709293015,0.5286887616402172,0.0758864017582781,0.5030212252535717,0.02031682278770633,5.9978861953111196,0.9063133655409881,141.58494962964738,20.401349885123118,177.99433848684984,51.423929050447065,-0.0023025968407479613,0.0019237501280989777,0.7595238095238095,0.02619047619047621,0.568952202796936,0.5693885772394898
LSTM,4.0043545961380005,0.2307056188583374,2.1125397086143494,0.15380817651748657,0.01413753628730774,0.01944926381111145,0.542333333333275,0.03766666666664209,0.4928329630803825,0.02906484713840521,0.5404447914857943,0.07312453004803851,0.5106787082153561,0.01757525998951187,-0.04313030374743243,3.6000011395302396,40.07773138227918,85.11073169254122,171.4703005379586,82.33336203629833,-0.007841028793242,0.004505077547614533,0.5761904761904761,0.20952380952380953,2.1370835304260254,0.032591198258844045
XGBoost,4.099242952496224,0.22338817486620077,2.287636583448821,0.12654810023124163,-0.03364887951778239,0.02685618044061233,0.5264761904761354,0.00219047619049606,0.4707336568654449,0.010556665715138136,0.5299757070968742,0.02017178552841331,0.4985707197119065,0.014849789529367441,2.2157022627290264,0.4953217854191988,80.5250333150228,2.6492856343587263,273.829437949661,52.592542630716025,-0.0065096278059012525,0.0026442550473864124,0.5476190476190476,0.11904761904761904,3.042736752135086,0.0023443732104146964
Informer,4.212134122848511,0.25557398796081543,2.35737407207489,0.06320703029632568,-0.09031838178634644,0.014811336994171143,0.493952380952329,0.004619047619028316,0.43919361440842297,0.0036635284486623565,0.4998409393254645,0.003108913181835926,0.4675583062214561,0.0034361688668021473,0.38735133924212123,0.2405870962827806,12.358601888020832,8.081642786661785,222.4374494232096,12.293683720316253,-0.00574634000977875,0.0009157813638873136,0.4976190476190476,0.06904761904761905,4.957591533660889,7.137241930799121e-07
Autoformer,4.202627658843994,0.3710517883300781,2.412730574607849,0.02619946002960205,-0.08177268505096436,0.04536020755767822,0.5199047619047079,0.012761904761923237,0.4657563399700031,0.01888985495650089,0.5356729712532711,0.0002747411648544862,0.49806481032031824,0.010694825228893284,1.2511117428077387,1.2268414748970682,33.21476573035831,32.776222683134534,161.16957001831446,30.87109543352146,-0.0038766126191118744,0.0004155386730941846,0.5809523809523809,0.15238095238095237,3.3470592498779297,0.0008167375166272528
TimesNet,4.264287710189819,0.19828343391418457,2.4179166555404663,0.04450690746307373,-0.12007498741149902,0.04703950881958008,0.5097142857142314,0.02171428571426398,0.45630553656860384,0.014747095010219619,0.54322112325743,0.04174619700381671,0.4957395743909514,0.026126314772306175,1.8266616455115063,2.6466887497526908,19.62775793529692,49.79644893464588,188.60415424852886,76.69137500692376,-0.010276058351838036,0.009103385665888142,0.5380952380952382,0.10476190476190478,5.939213275909424,2.863930870233844e-09
V-STGCN,4.007604241371155,0.2442840337753296,2.116887092590332,0.13379621505737305,0.01303774118423462,0.012853741645812988,0.5677619047618443,0.025095238095213857,0.5051452559623291,0.028401069916094646,0.3333477933945459,0.21240384059220385,0.36626057203895795,0.17331939560069637,2.6967259597594917,2.076370174103041,62.53729438781738,37.392629623413086,221.6286638071294,70.6564416390813,-0.007507306820307258,0.006253194687368457,0.6238095238095238,0.09047619047619049,2.282832622528076,0.022440229549917756
SC-STGCN,3.9496207237243652,0.2012324333190918,2.0775116682052612,0.1554347276687622,0.03986898064613342,0.03176674246788025,0.6097619047618397,0.033095238095211366,0.566868279569742,0.02063172043007444,0.49450517670182115,0.11987390826529828,0.5225417109908594,0.07809726659475644,2.6465965767293156,1.082971111074118,121.8882919039045,58.265952655247276,320.8699515445528,27.457479741659853,-0.0060701724472721486,0.002663948998100296,0.6428571428571428,0.14285714285714285,,
