horizon,model,rmse,r2,f1,sharpe
2,AR(1),3.5090482234954834,0.007360517978668213,0.49092964520163745,4.113882736353971
2,LSTM,3.5322035551071167,-0.00818544626235962,0.45641608158764235,2.7362158928509976
2,XGBoost,3.6736912579479855,-0.09217143312676468,0.5030549235768937,-0.8908759131751297
2,V-STGCN,3.5202983617782593,-0.002121537923812866,0.48190951681326455,1.1429013400296235
2,SC-STGCN,3.5275611877441406,-0.005738198757171631,0.5238202237425577,2.849380816020763
