horizon,model,rmse,rmse_std,mae,r2,f1,sharpe,hit
1,AR(1),2.903744339942932,0.07553350925445557,1.6262604594230652,0.019303739070892334,0.539918204249877,3.6500523558451414,0.7619047619047619
1,LSTM,2.9351786375045776,0.07400381565093994,1.6411240100860596,-0.002078801393508911,0.5412825956002179,1.490327522178303,0.6023809523809524
1,XGBoost,3.05646118771343,0.010152678785193547,1.76488501251793,-0.08885634565277445,0.5326611681637123,2.6072125325039526,0.6214285714285714
1,V-STGCN,2.913629651069641,0.05236780643463135,1.6329920887947083,0.012213796377182007,0.4297052893265667,4.054197180788536,0.7404761904761905
1,SC-STGCN,2.871801018714905,0.03994190692901611,1.6248414516448975,0.04012742638587952,0.4995212175120028,2.432536438095428,0.6357142857142857
2,AR(1),2.9613183736801147,0.11012804508209229,1.658557951450348,0.01283949613571167,0.5816341607089359,2.7711115884402426,0.7506631299734747
2,LSTM,3.0102086067199707,0.12994623184204102,1.6689866185188293,-0.019707292318344116,0.4725996795822124,-0.3498124006912571,0.5026525198938993
2,XGBoost,3.0647661590095128,0.06966145426455728,1.7930969830986085,-0.058444031058112134,0.5327194863892537,2.623525469562566,0.6352785145888594
2,V-STGCN,3.006880044937134,0.09294342994689941,1.6952428817749023,-0.01818174123764038,0.46363348526448034,-1.0745838619416486,0.45490716180371354
2,SC-STGCN,2.962587356567383,0.08842182159423828,1.6576915383338928,0.011518388986587524,0.5212641088240789,1.7168751375758489,0.4893899204244032
3,AR(1),3.0099422931671143,0.14983654022216797,1.6893624067306519,0.00279882550239563,0.5903583634398331,2.2729149440872085,0.6726190476190477
3,LSTM,3.088576912879944,0.2169414758682251,1.7133808732032776,-0.048493027687072754,0.4275589037140498,-0.4124544609193732,0.5952380952380952
3,XGBoost,3.102801982889047,0.06615597266169249,1.84523885273128,-0.06326034963003702,0.5379103189123652,2.0173863980624196,0.5773809523809523
3,V-STGCN,3.0293447971343994,0.1067347526550293,1.7355698347091675,-0.011637628078460693,0.6123790902530207,0.5432812794974623,0.48214285714285715
3,SC-STGCN,3.0499002933502197,0.1676793098449707,1.7488390803337097,-0.023401737213134766,0.5095609976126528,-1.2068527399400746,0.42857142857142855
