n_his,gcn_h,att_h,ff_h,dropout,lr,wd,att_heads,val_rmse,elapsed_s
8,64,128,128,0.2,0.001,0.0001,4,1.191683,4.2
8,64,128,128,0.2,0.001,0.001,2,1.211584,6.0
8,64,128,128,0.2,0.001,0.001,4,1.210728,8.8
8,64,128,128,0.2,0.0005,0.0001,2,1.187639,9.3
8,64,128,128,0.2,0.0005,0.0001,4,1.203642,9.4
8,64,128,128,0.2,0.0005,0.001,2,1.159642,8.2
8,64,128,128,0.2,0.0005,0.001,4,1.166935,7.1
8,64,128,128,0.2,0.0001,0.0001,2,1.151736,20.0
8,64,128,128,0.2,0.0001,0.0001,4,1.14856,12.8
8,64,128,128,0.2,0.0001,0.001,2,1.142042,7.8
8,64,128,128,0.2,0.0001,0.001,4,1.146451,8.9
8,64,128,128,0.3,0.001,0.0001,2,1.262976,8.1
8,64,128,128,0.3,0.001,0.0001,4,1.17948,10.7
8,64,128,128,0.3,0.001,0.001,2,1.218633,11.1
8,64,128,128,0.3,0.001,0.001,4,1.220544,9.6
8,64,128,128,0.3,0.0005,0.0001,2,1.167984,8.3
8,64,128,128,0.3,0.0005,0.0001,4,1.179385,9.5
8,64,128,128,0.3,0.0005,0.001,2,1.216263,7.0
8,64,128,128,0.3,0.0005,0.001,4,1.174873,8.5
8,64,128,128,0.3,0.0001,0.0001,2,1.143212,11.1
8,64,128,128,0.3,0.0001,0.0001,4,1.149638,24.8
8,64,128,128,0.3,0.0001,0.001,2,1.144938,16.7
8,64,128,128,0.3,0.0001,0.001,4,1.142122,15.4
8,64,128,256,0.1,0.001,0.0001,2,1.21644,9.2
8,64,128,256,0.1,0.001,0.0001,4,1.19945,10.1
8,64,128,256,0.1,0.001,0.001,2,1.191684,8.3
8,64,128,256,0.1,0.001,0.001,4,1.157821,11.1
8,64,128,256,0.1,0.0005,0.0001,2,1.14392,8.5
8,64,128,256,0.1,0.0005,0.0001,4,1.146114,28.3
8,64,128,256,0.1,0.0005,0.001,2,1.158064,9.0
8,64,128,256,0.1,0.0005,0.001,4,1.182855,7.9
8,64,128,256,0.1,0.0001,0.0001,2,1.144606,9.8
8,64,128,256,0.1,0.0001,0.0001,4,1.14088,10.1
8,64,128,256,0.1,0.0001,0.001,2,1.138881,8.6
8,64,128,256,0.1,0.0001,0.001,4,1.147147,12.9
8,64,128,256,0.2,0.001,0.0001,2,1.266633,8.5
8,64,128,256,0.2,0.001,0.0001,4,1.196163,11.0
8,64,128,256,0.2,0.001,0.001,2,1.196566,10.4
8,64,128,256,0.2,0.001,0.001,4,1.221629,9.1
8,64,128,256,0.2,0.0005,0.0001,2,1.215244,10.7
8,64,128,256,0.2,0.0005,0.0001,4,1.1669,8.5
8,64,128,256,0.2,0.0005,0.001,2,1.237088,10.0
8,64,128,256,0.2,0.0005,0.001,4,1.193453,6.5
8,64,128,256,0.2,0.0001,0.0001,2,1.139172,16.2
8,64,128,256,0.2,0.0001,0.0001,4,1.145604,11.1
8,64,128,256,0.2,0.0001,0.001,2,1.142497,11.2
8,64,128,256,0.2,0.0001,0.001,4,1.136769,6.6
