Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Acc_mean,F1_mean,Sharpe_mean,Sharpe_std,Hit_mean
AR(1),2.8775274753570557,0.14397931098937988,1.658817172050476,0.12177300453186035,0.02346515655517578,0.007384538650512695,0.5548571428570851,0.54146896519012,4.775520285056942,0.26660615141077626,0.8309523809523809
LSTM,2.9798871278762817,0.20330345630645752,1.6982712149620056,0.09379571676254272,-0.045971959829330444,0.046065837144851685,0.5026190476189947,0.4642095574638527,-0.9371244782171614,1.9661288662932805,0.49523809523809526
XGBoost,3.0204703428740896,0.09152179128050775,1.7758862668139628,0.15402010657323484,-0.0781947547458518,0.03446194441547423,0.5408571428570871,0.5466723915350307,1.7510946820443827,0.4944405882946399,0.530952380952381
V-STGCN,2.899213671684265,0.1054452657699585,1.6677163243293762,0.13374000787734985,0.007350534200668335,0.019672125577926636,0.5431904761904185,0.42290528668993255,1.9149243208018294,1.7180368907436512,0.6238095238095238
SC-STGCN,2.9467614889144897,0.20157206058502197,1.7147884368896484,0.05278122425079346,-0.022837430238723755,0.045414894819259644,0.5484761904761343,0.44991881176521276,0.9586233750600468,1.8450794112512616,0.5833333333333333
