Model,Freq,RMSE,MAE,R2,Sharpe,Hit
AR(1),Daily,1.7839441696802776,0.9388384620348612,0.008085409800211588,7.014094073530174,0.7058709677419355
LSTM,Daily,1.8262674411137898,0.9598880410194397,-0.05309657255808512,-0.05319520096610001,0.5348602150537635
XGBoost,Daily,2.0326867333005403,1.067437693276628,-0.2867276221554978,3.685992644055528,0.6148817204301076
V-STGCN,Daily,1.7969093322753906,0.9517797231674194,-0.00877686341603597,1.4255569264392014,0.5616989247311829
SC-STGCN,Daily,1.7891032695770264,0.950812836488088,0.00012896458307902017,3.245665437628388,0.6043010752688173
