Model,Acc_mean,Acc_std,Prec_mean,Prec_std,Rec_mean,Rec_std,F1_mean,F1_std,AUC_mean,AUC_std,Brier_mean
AR(1),0.840190476190388,0.005523809523776901,0.20095238095215992,0.027619047618942127,0.20095238095215992,0.027619047618942127,0.20095238090215992,0.027619047618942127,0.529618644494835,0.014406298815822671,0.3001984655857086
LSTM,0.8999999999999057,3.430589146091734e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.5789121945074327,0.02929768203577726,0.09089024737477303
XGBoost,0.8934761904760968,0.0008095238094896762,0.0,0.0,0.0,0.0,0.0,0.0,0.5749001007810531,0.02720874275636176,0.0983722060334862
V-STGCN,0.8999999999999057,3.430589146091734e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.4778824389014865,0.043959536407155414,0.10858757793903351
SC-STGCN,0.8999999999999057,3.430589146091734e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.5528486772486773,0.04350052910052915,0.08979235216975212
