Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,Acc_mean,F1_mean,Sharpe_mean,Sharpe_std,Hit_mean
AR(1),3.999617099761963,0.2874293327331543,2.129737615585327,0.11173319816589355,0.01844179630279541,0.008726656436920166,0.5399523809523252,0.5030212252535717,5.9978861953111196,0.9063133655409881,0.7595238095238095
LSTM,4.0043545961380005,0.2307056188583374,2.112539768218994,0.1538081169128418,0.01413753628730774,0.01944926381111145,0.542333333333275,0.5106787082153561,-0.04313030374743243,3.6000011395302396,0.5761904761904761
XGBoost,4.099239927429462,0.2233851486870515,2.287635236116868,0.1265494558800997,-0.03364747041529759,0.02685759015183642,0.5264761904761354,0.4985707197119065,2.2157022627290264,0.4953217854191988,0.5476190476190476
V-STGCN,4.019701957702637,0.22165822982788086,2.122957468032837,0.14799022674560547,0.00617903470993042,0.024530351161956787,0.5597142857142254,0.4009165302319345,1.563304310538083,1.927031304233956,0.6761904761904762
SC-STGCN,3.9188185930252075,0.20819461345672607,2.080715000629425,0.12760800123214722,0.055128395557403564,0.027140438556671143,0.5966666666666041,0.5177417891729568,2.734434542759283,0.23354103093892875,0.6190476190476191
