date,corr_upstream,corr_downstream,corr_bidirectional,corr_unconnected
2016-01-08,0.14780065417289734,0.1923144906759262,0.15474145114421844,0.2079409509897232
2016-01-15,0.15987138450145721,0.19325341284275055,0.16693970561027527,0.21883779764175415
2016-01-22,0.15654145181179047,0.19332563877105713,0.1816062033176422,0.21917074918746948
2016-01-29,0.16595147550106049,0.20147202908992767,0.21003317832946777,0.225480854511261
2016-02-05,0.16076874732971191,0.19224657118320465,0.2146584689617157,0.21785637736320496
2016-02-12,0.16956497728824615,0.1792573630809784,0.22104796767234802,0.2121371626853943
2016-02-19,0.21044902503490448,0.21595227718353271,0.22854891419410706,0.27504217624664307
2016-02-26,0.1972728669643402,0.2088557630777359,0.22602525353431702,0.2574699819087982
2016-03-04,0.19179792702198029,0.20070238411426544,0.20302167534828186,0.24508699774742126
2016-03-11,0.18717890977859497,0.20197279751300812,0.2099694311618805,0.24686719477176666
2016-03-18,0.18946674466133118,0.20381242036819458,0.2153051644563675,0.24735210835933685
2016-03-25,0.20656098425388336,0.21570415794849396,0.22581033408641815,0.25454235076904297
2016-04-01,0.22273728251457214,0.22951120138168335,0.24750885367393494,0.27304553985595703
2016-04-08,0.22150880098342896,0.23011349141597748,0.23415395617485046,0.27252519130706787
2016-04-15,0.22201871871948242,0.22898158431053162,0.24304628372192383,0.27012544870376587
2016-04-22,0.24384917318820953,0.2279452383518219,0.26444655656814575,0.2752697765827179
2016-04-29,0.22381943464279175,0.21627582609653473,0.2634192109107971,0.26871761679649353
2016-05-06,0.22776208817958832,0.21317541599273682,0.2655791938304901,0.26756036281585693
2016-05-13,0.2299136072397232,0.21388821303844452,0.2713751494884491,0.265253484249115
2016-05-20,0.23159316182136536,0.21532350778579712,0.27846845984458923,0.2641594409942627
2016-05-27,0.23210705816745758,0.21487055718898773,0.2779562175273895,0.2627558708190918
2016-06-03,0.23598814010620117,0.21739859879016876,0.2790941298007965,0.2654257118701935
2016-06-10,0.23725451529026031,0.21908792853355408,0.2806243598461151,0.2691337466239929
2016-06-17,0.22966834902763367,0.21825897693634033,0.2799622714519501,0.27068111300468445
2016-06-24,0.2389117330312729,0.22312600910663605,0.2778555750846863,0.2769683301448822
2016-07-01,0.23894521594047546,0.22127102315425873,0.2677469253540039,0.27705636620521545
2016-07-08,0.251327782869339,0.2291189730167389,0.2811092436313629,0.2860090136528015
2016-07-15,0.2599993348121643,0.24096159636974335,0.2931331396102905,0.2961026132106781
2016-07-22,0.2641674280166626,0.24573743343353271,0.28853875398635864,0.2993668019771576
2016-07-29,0.2642057240009308,0.24403391778469086,0.27432581782341003,0.3003474771976471
2016-08-05,0.2639738917350769,0.23972314596176147,0.2773429751396179,0.2967955768108368
2016-08-12,0.262435644865036,0.23822271823883057,0.2723235487937927,0.29667553305625916
2016-08-19,0.2717355489730835,0.24000132083892822,0.2742082476615906,0.3013570010662079
2016-08-26,0.27640387415885925,0.24420593678951263,0.2695479393005371,0.3039253354072571
2016-09-02,0.2797621786594391,0.24232134222984314,0.2788811922073364,0.3062327206134796
2016-09-09,0.274422287940979,0.24439828097820282,0.27985650300979614,0.3074541687965393
2016-09-16,0.27536270022392273,0.24425339698791504,0.2790232002735138,0.3086462914943695
2016-09-23,0.28357401490211487,0.25237947702407837,0.29222017526626587,0.31073880195617676
2016-09-30,0.29258882999420166,0.25401636958122253,0.2909446358680725,0.3106069266796112
2016-10-07,0.29750195145606995,0.24999716877937317,0.2938459813594818,0.3112812340259552
2016-10-14,0.28783953189849854,0.24080628156661987,0.2850247621536255,0.30355972051620483
2016-10-21,0.28745901584625244,0.24247117340564728,0.2841373383998871,0.30247947573661804
2016-10-28,0.2896180748939514,0.25775617361068726,0.29107582569122314,0.3097834587097168
2016-11-04,0.28437522053718567,0.26768946647644043,0.3006484806537628,0.3100079894065857
2016-11-11,0.2841297686100006,0.27012985944747925,0.30363965034484863,0.31096601486206055
2016-11-18,0.28835079073905945,0.27639397978782654,0.3169182538986206,0.312869668006897
2016-11-25,0.28540387749671936,0.2741912007331848,0.3194219768047333,0.3122875392436981
2016-12-02,0.28519436717033386,0.2781255841255188,0.3303583264350891,0.3094170093536377
