group,lag,mean_casc,se_casc,t_stat,p_value,n_events
upstream,-4,-1.5648943,0.34396905469722594,-4.549520652382966,6.643262493666313e-06,542
upstream,-3,-2.2314913,0.5455880584429161,-4.09006629148984,4.9686522469061245e-05,542
upstream,-2,-1.9142889,0.7057957129965067,-2.71224214446186,0.006895650655057262,542
upstream,-1,-0.6118149,0.8805885764342343,-0.6947795286441526,0.48749175371413833,542
upstream,0,3.7110128,1.0124250583011214,3.6654691717445598,0.00027123025129460743,542
upstream,1,5.816135,1.0432679468904902,5.574919603765032,3.9132427742671894e-08,542
upstream,2,6.48406,1.06568851034269,6.084385584625409,2.214466610084287e-09,542
upstream,3,6.4208856,1.085250454617383,5.916501149560755,5.8379840961464424e-09,542
upstream,4,5.1577573,1.032055002516125,4.997560468369261,7.852167296373835e-07,542
upstream,5,4.2542243,0.9876412921040174,4.307458926601587,1.9614932567080245e-05,542
upstream,6,3.883113,1.0172220034880475,3.817370145074293,0.00015047487198849296,542
upstream,7,3.9498272,1.0705089687619889,3.68967221116583,0.00024726017515530607,542
upstream,8,4.479172,1.110402813262028,4.03382644196029,6.277372454066565e-05,542
downstream,-4,-2.8902345,0.6679812435049577,-4.326819799264766,1.8830552697135516e-05,431
downstream,-3,-5.405722,1.196876561198604,-4.516524356864915,8.13089028239844e-06,431
downstream,-2,-6.049391,1.5231378902289054,-3.9716632560039447,8.366045732666194e-05,431
downstream,-1,-4.1353064,1.606116148900811,-2.574724350359119,0.010365434068361656,431
downstream,0,1.6245141,1.7283427820623003,0.9399258756433657,0.3477832736553208,431
downstream,1,5.127818,1.8032597622133297,2.8436380685535334,0.004672856138110637,431
downstream,2,6.2266955,1.7176587835758952,3.625106218268583,0.0003234303487211765,431
downstream,3,5.5618377,1.6723396672513622,3.3257823047372,0.0009573440432040226,431
downstream,4,3.636897,1.7027638435930081,2.135878736542438,0.0332535175936699,431
downstream,5,2.2381394,1.7582072635137649,1.2729667527053847,0.20371763643576069,431
downstream,6,2.097788,1.8242674303353041,1.1499345219213128,0.25080998289239087,431
downstream,7,2.938302,1.9050725991783426,1.542356990076468,0.12372244203936256,431
downstream,8,4.011438,1.9514756420154098,2.0555920895663338,0.04042516428087972,431
unconnected,-4,-1.6694633,0.2112344061335977,-7.903368142673166,9.325873406851315e-15,773
unconnected,-3,-2.7322206,0.3710218987006907,-7.364041471813394,4.585221091701897e-13,773
unconnected,-2,-2.5792568,0.4881918846994735,-5.283284817514805,1.6520763046479203e-07,773
unconnected,-1,-1.1886454,0.5853951293086619,-2.0305009439602215,0.0426479469770773,773
unconnected,0,3.2473729,0.6574009272792801,4.939714457998238,9.595705841025648e-07,773
unconnected,1,5.6503377,0.6879548619643836,8.213238989430446,8.881784197001252e-16,773
unconnected,2,6.635505,0.679336390693918,9.767628069619054,0.0,773
unconnected,3,6.5071025,0.6760392143556434,9.625332895386917,0.0,773
unconnected,4,5.3280153,0.6398443654016585,8.327048911771348,4.440892098500626e-16,773
unconnected,5,4.3262286,0.60631781309944,7.1352490796749395,2.2286616996325392e-12,773
unconnected,6,4.105119,0.6079383428206901,6.752525607516384,2.857314385096288e-11,773
unconnected,7,4.2352247,0.6163988223907053,6.870916311459665,1.3144818566956928e-11,773
unconnected,8,4.9182444,0.6355802359509877,7.738195876630262,3.1530333899354446e-14,773
