ticker_i,ticker_j,corr,pvalue,rel_type
AAPL,MSFT,0.1274207979440689,0.01723797619342804,unconnected
AAPL,AMZN,0.01461825706064701,0.7855245471000671,unconnected
AAPL,WMT,0.035797663033008575,0.5050461888313293,downstream
AAPL,JPM,-0.11768242716789246,0.027931563556194305,unconnected
AAPL,LLY,0.020351571962237358,0.7047820091247559,unconnected
AAPL,XOM,0.04602363333106041,0.3913555443286896,unconnected
AAPL,JNJ,0.00563456816598773,0.9164668917655945,unconnected
AAPL,ORCL,0.11339134722948074,0.034212302416563034,unconnected
AAPL,COST,0.2007759064435959,0.0001594532950548455,unconnected
AAPL,NFLX,-0.03046160750091076,0.5706062912940979,unconnected
AAPL,BAC,-0.10459855943918228,0.050889547914266586,unconnected
AAPL,ABBV,-0.07325395196676254,0.17212015390396118,unconnected
AAPL,CAT,0.004883388988673687,0.9275698065757751,unconnected
AAPL,CVX,-0.05067252740263939,0.3452456295490265,unconnected
AAPL,HD,0.030473189428448677,0.5704584717750549,unconnected
AAPL,INTC,0.23662850260734558,7.882737918407656e-06,upstream
AAPL,PG,0.028695225715637207,0.5931631326675415,unconnected
AAPL,CSCO,0.010670158080756664,0.8425552845001221,upstream
AAPL,KO,0.10117089748382568,0.05901322513818741,unconnected
AAPL,GE,-0.08179152011871338,0.12724260985851288,unconnected
AAPL,AMAT,0.015845833346247673,0.7680091261863708,unconnected
AAPL,MS,-0.11524011939764023,0.031372588127851486,unconnected
AAPL,UNH,0.06107437238097191,0.2551485598087311,unconnected
AAPL,MRK,0.04556378349661827,0.39610981941223145,unconnected
AAPL,GS,-0.147020623087883,0.005928944796323776,unconnected
AAPL,RTX,0.09865491837263107,0.0656353160738945,unconnected
AAPL,WFC,-0.08627663552761078,0.1076163649559021,unconnected
AAPL,PM,-0.0053409552201628685,0.9208050966262817,unconnected
AAPL,IBM,0.031344011425971985,0.5594907999038696,upstream
AAPL,AXP,0.0353657603263855,0.510201632976532,unconnected
AAPL,C,-0.1008816808462143,0.059745125472545624,unconnected
AAPL,MCD,0.032965343445539474,0.5393474102020264,downstream
AAPL,PEP,0.1000833809375763,0.06180453300476074,unconnected
AAPL,TXN,0.013060277327895164,0.8079107403755188,upstream
AAPL,VZ,-0.08454684168100357,0.1148824691772461,downstream
AAPL,AMGN,0.0868125855922699,0.10544014722108841,unconnected
AAPL,NEE,0.040513649582862854,0.45057806372642517,unconnected
AAPL,T,-0.07732117921113968,0.14945611357688904,unconnected
AAPL,BA,-0.057991765439510345,0.27996501326560974,unconnected
AAPL,TJX,0.03306888788938522,0.5380727052688599,unconnected
AAPL,GILD,-0.02630073018372059,0.6243736147880554,unconnected
AAPL,ABT,0.08128233999013901,0.12963542342185974,unconnected
AAPL,SCHW,0.12750957906246185,0.017159799113869667,unconnected
AAPL,DE,-0.004966266453266144,0.9263443946838379,unconnected
AAPL,ETN,-0.03704735264182091,0.49028465151786804,upstream
AAPL,PFE,0.036824192851781845,0.49290362000465393,unconnected
AAPL,UNP,-0.024882758036255836,0.6431830525398254,unconnected
AAPL,WELL,-0.012048340402543545,0.822537362575531,unconnected
AAPL,HON,0.04997465759515762,0.3519381880760193,unconnected
MSFT,AMZN,0.04748077318072319,0.37651723623275757,unconnected
MSFT,WMT,0.04446454718708992,0.4076157808303833,unconnected
MSFT,JPM,-0.13830198347568512,0.009685281664133072,unconnected
MSFT,LLY,-0.0058344039134681225,0.9135144948959351,unconnected
MSFT,XOM,0.030913108959794044,0.56490558385849,downstream
MSFT,JNJ,0.05838034301996231,0.27674949169158936,unconnected
MSFT,ORCL,0.05591125786304474,0.2976078391075134,unconnected
MSFT,COST,0.1841515153646469,0.0005451973411254585,unconnected
MSFT,NFLX,-0.11319692432880402,0.03452329337596893,downstream
MSFT,BAC,-0.14027637243270874,0.00868615135550499,downstream
MSFT,ABBV,0.0058234576135873795,0.9136764407157898,unconnected
MSFT,CAT,0.0076563493348658085,0.8866683840751648,upstream
MSFT,CVX,0.016179842874407768,0.7632628083229065,unconnected
MSFT,HD,0.04316476732492447,0.4214746654033661,unconnected
MSFT,INTC,0.08641368895769119,0.1070563793182373,bidirectional
MSFT,PG,0.046218834817409515,0.38934698700904846,unconnected
MSFT,CSCO,0.10000476986169815,0.06201030686497688,unconnected
MSFT,KO,0.1925659328699112,0.0002963785082101822,unconnected
MSFT,GE,-0.0612529031932354,0.25375914573669434,bidirectional
MSFT,AMAT,-0.030058730393648148,0.5757144093513489,unconnected
MSFT,MS,-0.14169438183307648,0.00802629254758358,unconnected
MSFT,UNH,0.11349132657051086,0.03405344858765602,unconnected
MSFT,MRK,0.03679356724023819,0.49326375126838684,unconnected
MSFT,GS,-0.13003867864608765,0.015059742145240307,unconnected
MSFT,RTX,-0.014103963971138,0.7928955554962158,unconnected
MSFT,WFC,-0.14394421875476837,0.007070735562592745,unconnected
MSFT,PM,0.1462777704000473,0.006188343279063702,unconnected
MSFT,IBM,0.05423653870820999,0.31233683228492737,bidirectional
MSFT,AXP,0.07078077644109726,0.1871006339788437,upstream
MSFT,C,-0.13256031274795532,0.013193883933126926,unconnected
MSFT,MCD,0.06306786090135574,0.23993505537509918,downstream
MSFT,PEP,0.07976274192333221,0.13698454201221466,unconnected
MSFT,TXN,0.07534673810005188,0.16015809774398804,bidirectional
MSFT,VZ,-0.15214550495147705,0.004389577079564333,downstream
MSFT,AMGN,0.08852090686559677,0.09873524308204651,unconnected
MSFT,NEE,0.07961755245923996,0.13770313560962677,unconnected
MSFT,T,-0.022552523761987686,0.6745897531509399,unconnected
MSFT,BA,-0.07352098077535629,0.17055778205394745,downstream
MSFT,TJX,0.08739140629768372,0.10312935709953308,unconnected
MSFT,GILD,-0.088664710521698,0.09818633645772934,unconnected
MSFT,ABT,0.08768685162067413,0.10196501761674881,unconnected
MSFT,SCHW,0.07524848729372025,0.16070519387722015,unconnected
MSFT,DE,0.024350423365831375,0.6503051519393921,unconnected
MSFT,ETN,0.06764377653598785,0.20745283365249634,unconnected
MSFT,PFE,0.033554043620824814,0.5321226716041565,unconnected
MSFT,UNP,0.009649294428527355,0.8574502468109131,unconnected
MSFT,WELL,-0.0375635027885437,0.48425549268722534,unconnected
MSFT,HON,-0.05421479046344757,0.3125307261943817,unconnected
AMZN,WMT,0.16530048847198486,0.001946142758242786,unconnected
AMZN,JPM,-0.11891649663448334,0.026319697499275208,unconnected
AMZN,LLY,0.002614977303892374,0.9611770510673523,unconnected
AMZN,XOM,0.03756355494260788,0.48425549268722534,unconnected
AMZN,JNJ,0.1115366593003273,0.037278272211551666,unconnected
AMZN,ORCL,0.08785918354988098,0.10129114985466003,downstream
AMZN,COST,0.037669677287340164,0.48302119970321655,unconnected
AMZN,NFLX,-0.08862689882516861,0.09833072125911713,unconnected
AMZN,BAC,-0.09343986958265305,0.08130691200494766,unconnected
AMZN,ABBV,0.03175494074821472,0.5543511509895325,unconnected
AMZN,CAT,0.012731513008475304,0.8126557469367981,unconnected
AMZN,CVX,-0.019012145698070526,0.7233890891075134,unconnected
AMZN,HD,0.11739281564950943,0.028321977704763412,unconnected
AMZN,INTC,-0.074348583817482,0.16578303277492523,unconnected
AMZN,PG,0.039203058928251266,0.4653739333152771,unconnected
AMZN,CSCO,0.012475570663809776,0.8163543343544006,unconnected
AMZN,KO,0.05728932097554207,0.28584057092666626,unconnected
AMZN,GE,-0.04436466097831726,0.40867117047309875,unconnected
AMZN,AMAT,-0.10399628430604935,0.05224528908729553,unconnected
AMZN,MS,-0.11083513498306274,0.038497135043144226,unconnected
AMZN,UNH,0.12155242264270782,0.0231428574770689,unconnected
AMZN,MRK,-0.05028871074318886,0.34891679883003235,unconnected
AMZN,GS,-0.08581656962633133,0.10951235890388489,unconnected
AMZN,RTX,-0.01818264275789261,0.7349947094917297,unconnected
AMZN,WFC,-0.10849801450967789,0.042803626507520676,unconnected
AMZN,PM,0.012257824651896954,0.8195047974586487,unconnected
AMZN,IBM,0.20940524339675903,8.088396862149239e-05,unconnected
AMZN,AXP,0.14241614937782288,0.007707927841693163,unconnected
AMZN,C,-0.14727352559566498,0.0058428579941391945,unconnected
AMZN,MCD,0.0741686001420021,0.16681300103664398,downstream
AMZN,PEP,0.1131366714835167,0.0346202626824379,unconnected
AMZN,TXN,-0.08877481520175934,0.09776822477579117,unconnected
AMZN,VZ,-0.08338677138090134,0.1199665516614914,unconnected
AMZN,AMGN,0.1432122141122818,0.007369861472398043,unconnected
