Model,clf_accuracy,clf_macro_f1,clf_weighted_f1,clf_down_p,clf_down_r,clf_down_f1,clf_stbl_p,clf_stbl_r,clf_stbl_f1,clf_up_p,clf_up_r,clf_up_f1,prt_sharpe,prt_mean_ret,prt_std_ret,prt_max_dd,prt_hit,mcnemar_p
AR(1),0.5032857142857143,0.28985406849780393,0.3848174453652183,0.6111111111111112,0.07941552327145547,0.13934533637340463,0.5034506391958953,0.9592983260720018,0.6583468980868561,0.27584059775840597,0.041736694677871146,0.07186997103315096,3.6849028513285234,242.1770604665948,518.6156594219491,-0.007054467676160359,0.6690476190476191,0.15393139372419512
LSTM,0.5212380952380953,0.3726753929299677,0.4527940517902507,0.4701898143346126,0.3467289929154336,0.3979662300632629,0.5478085835033518,0.8555233891309333,0.6630512297460902,0.22023809523809523,0.03435003631082063,0.05700871898054996,0.22787633484512937,-1.9566568170751317,304.39189490721617,-0.01520917300523944,0.6595238095238095,0.37320342208690194
XGBoost,0.4891904761904762,0.3757521817459739,0.4493198895291985,0.4170754913329171,0.2578244103667833,0.3172199614478475,0.5463077375698735,0.7844674386608577,0.642675860617051,0.24939467312348668,0.12819794584500466,0.1673607231730232,0.008554271171041794,5.080156932553319,299.4268642777997,-0.01177242955195984,0.5357142857142857,0.024878247898186767
Informer,0.49547619047619046,0.373808647371373,0.44800589679405745,0.44036970781156826,0.26786835261411535,0.33208227766565035,0.5447885414962709,0.8155239623939463,0.6478116124105799,0.2611775635814656,0.10276999688764395,0.1415320520378886,-0.7310785063852077,-5.572944324818536,308.1634555990951,-0.013243959471777367,0.4809523809523809,0.026173033715539362
Autoformer,0.5040476190476191,0.39304298116766945,0.46064585504683087,0.4244975723680167,0.31391242937853103,0.35946837236067464,0.561969602200417,0.80276886035313,0.6540264732044492,0.2976190476190476,0.12700487602448388,0.1656340979378847,-2.1704562380082084,-79.09356162070304,259.892847955937,-0.020529579698939093,0.4476190476190476,0.18881923458249633
TimesNet,0.5032380952380953,0.38185014416463875,0.4541755573163284,0.4298561714661736,0.2588837324006815,0.32138585509372025,0.5547548773244392,0.8234206603989911,0.6597047646313676,0.28357712765957444,0.12897603485838782,0.16445981276882854,-0.7926047905586087,-21.790289703158813,204.9752806865605,-0.007676751626936706,0.430952380952381,0.2487258669337119
V-STGCN,0.487,0.22538534262672194,0.3300069715724888,0.1875,0.012711864406779662,0.023809523809523808,0.487225630538514,0.9879614767255216,0.6498834498834498,0.5,0.0012345679012345679,0.0024630541871921183,0.4856463621938814,10.80727587805854,80.23572368662091,-0.0027835006713867183,0.06666666666666667,0.5440239456473632
SC-STGCN,0.4853333333333334,0.2291545435693106,0.33274520591238443,0.625,0.011120078916689086,0.021136173767752713,0.48887892831771596,0.9810679889933502,0.6500861576362347,0.1346153846153846,0.008641975308641974,0.016241299303944315,0.6482421507540257,22.932235687498075,292.82566201635973,-0.008621350336411149,0.15476190476190477,
