Model,Freq,RMSE,MAE,R2,Sharpe,Hit
AR(1),Daily,3.268105943997701,1.284619132677714,-0.04176648457845052,4.615004760899395,0.6923010593742301
LSTM,Daily,3.1857654651006064,1.2877004146575928,-0.012499173482259115,0.45151857856441246,0.5243532889874353
XGBoost,Daily,3.3699080945964823,1.4352383057040583,-0.13719614467712749,2.5711950800025827,0.5668883961566888
V-STGCN,Daily,3.2064391374588013,1.2836273511250813,-0.01219173272450765,1.5026296714290137,0.5970928800197093
SC-STGCN,Daily,3.173096219698588,1.276710828145345,6.961822509765625e-05,3.00004235038837,0.6092140921409214
