Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,MAPE_mean,MAPE_std,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Sharpe_mean,Sharpe_std,Hit_mean,Hit_std
AR(1),2.903744339942932,0.07553350925445557,1.6262604594230652,0.12466484308242798,0.019303739070892334,0.0046765804290771484,105.58317947387695,0.4663200378417969,0.5392857142856585,0.020714285714304115,0.49593549191083647,0.03491099302452488,0.6058731265247707,0.0795573370511613,0.539918204249877,0.01134677572852305,3.6500523558451414,0.14852834988901553,0.7619047619047619,0.09523809523809523
LSTM,2.9351786375045776,0.07400381565093994,1.6411240100860596,0.12149548530578613,-0.002078801393508911,0.0031747519969940186,102.37228775024414,2.1754493713378906,0.4828571428570929,0.017142857142873752,0.449732124459029,0.027992994024338053,0.6796557798647547,0.037271673904702374,0.5412825956002179,0.03209624394216515,1.490327522178303,0.4494762534694051,0.6023809523809524,0.030952380952380953
XGBoost,3.05646118771343,0.010152678785193547,1.76488501251793,0.17199136370737933,-0.08885634565277445,0.05864496223134785,150.48394649149998,18.720829181693503,0.5428095238094677,0.018523809523828316,0.4916420679766268,0.035304039807741217,0.5811564440005073,0.04473260294108217,0.5326611681637123,0.03951048328203022,2.6072125325039526,0.12417210149026459,0.6214285714285714,0.021428571428571463
V-STGCN,2.913629651069641,0.05236780643463135,1.6329920887947083,0.13982397317886353,0.012213796377182007,0.011178582906723022,101.7738037109375,1.7251815795898438,0.5506666666666078,0.029333333333309286,0.49523339907940905,0.01660092044706679,0.405911750021084,0.16693593209793164,0.4297052893265667,0.11091971062342251,4.054197180788536,0.1790546522738743,0.7404761904761905,0.02619047619047621
SC-STGCN,2.871801018714905,0.03994190692901611,1.6248414516448975,0.1292952299118042,0.04012742638587952,0.018666714429855347,107.87472152709961,1.5543861389160156,0.5474761904761332,0.0031904761904966716,0.5033685055353813,0.024356159856487203,0.5174936177026155,0.1248904882574367,0.4995212175120028,0.04927651935545202,2.432536438095428,0.2757989031333692,0.6357142857142857,0.06428571428571428
