Model,rmse,mae,r2_agg,r2_mean_firm,r2_positive_firms,n_firms
AR(1),,,,-0.1811196655035019,58,583
SC-STGCN,6.1208720207214355,2.4619290828704834,-0.3086392879486084,-0.44566357135772705,50,583
V-STGCN,5.4813432693481445,2.159358501434326,-0.049463510513305664,-0.08849406242370605,76,583
