Model,accuracy,f1_macro,f1_weighted,auc_ovr
Majority,0.4064285714285714,0.1926527848315558,0.23489878836247552,
LogReg,0.43,0.36147613549885427,0.39284434009198843,0.5589698105909436
XGBoost,0.4057142857142857,0.38865749943671024,0.402735476391802,0.5500321192233689
LSTM,0.44,0.39355047663684634,0.4224571726070564,0.5888127191604678
V-STGCN,0.42142857142857143,0.38128276029862707,0.40380001513412417,0.5418502194603217
SC-STGCN,0.415,0.3820228802863923,0.3995690605610293,0.5237075767496971
