Model,accuracy,f1_macro,f1_weighted,auc_ovr
Majority,0.6178571428571429,0.2545989698307579,0.47191737622201196,
LogReg,0.62,0.2719107056465068,0.48396454582962545,0.5496668813607534
XGBoost,0.6071428571428571,0.30853646803959406,0.5039792774091527,0.5610553179307612
LSTM,0.5735714285714286,0.3386009837592425,0.5149127271388219,0.5897086794614054
V-STGCN,0.6178571428571429,0.2545989698307579,0.47191737622201196,0.4654225130237002
SC-STGCN,0.6107142857142858,0.2871529252569081,0.4905947725156793,0.5011415801264094
