model,rmse,r2,f1,sharpe,hit
AR(1),2.95418381690979,0.02354907989501953,0.5302422202051363,4.2110719436822865,0.8142857142857143
LSTM,2.970028519630432,0.01201733946800232,0.573778689953411,1.6754205163817373,0.46190476190476193
XGBoost,3.1316431436166434,-0.09892365777216783,0.5457591904931514,0.860199856307208,0.5666666666666667
V-STGCN,2.9826409816741943,0.0038581490516662598,0.48558425352063184,2.2623626068978107,0.6047619047619048
SC-STGCN,2.9531861543655396,0.02335217595100403,0.47401816596027246,2.5266577228981246,0.6928571428571428
