Model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,sharpe_mean,sharpe_std,mean_ret_bp_mean,mean_ret_bp_std,std_ret_bp_mean,std_ret_bp_std,max_drawdown_mean,max_drawdown_std,hit_ratio_mean,hit_ratio_std,dm_stat,dm_pval
AR(1),2.903744339942932,0.07553350925445557,1.6262604594230652,0.12466484308242798,0.019303739070892334,0.0046765804290771484,0.5392857142856585,0.020714285714304115,0.49593549191083647,0.03491099302452488,0.6058731265247707,0.0795573370511613,0.539918204249877,0.01134677572852305,3.6500523558451414,0.14852834988901553,78.23406537373862,1.1950937906901018,154.72060449666904,3.934861968237982,-0.001088584457241304,0.0009593894880923215,0.7619047619047619,0.09523809523809523,-0.29802873730659485,0.7656812304879694
LSTM,2.9351786375045776,0.07400381565093994,1.6411240100860596,0.12149548530578613,-0.002078801393508911,0.0031747519969940186,0.4828571428570929,0.017142857142873752,0.449732124459029,0.027992994024338053,0.6796557798647547,0.037271673904702374,0.5412825956002179,0.03209624394216515,1.490327522178303,0.4494762534694051,16.758370217822847,1.2242989767165433,91.16618252682942,33.419217519793364,-0.0026965365428968102,0.0016322500235234072,0.6023809523809524,0.030952380952380953,1.4010947942733765,0.16118572810408627
XGBoost,3.05646118771343,0.010152678785193547,1.76488501251793,0.17199136370737933,-0.08885634565277445,0.05864496223134785,0.5428095238094677,0.018523809523828316,0.4916420679766268,0.035304039807741217,0.5811564440005073,0.04473260294108217,0.5326611681637123,0.03951048328203022,2.6072125325039526,0.12417210149026459,61.19379100345431,4.989764463333859,170.29508637981695,21.911371354322213,-0.002310904995485641,0.0011402615128976445,0.6214285714285714,0.021428571428571463,2.916099945294004,0.0035443694122094804
Informer,3.0433402061462402,0.10846328735351562,1.853537142276764,0.005846917629241943,-0.0769147276878357,0.02588552236557007,0.49904761904756745,0.01761904761906477,0.46047440504979775,0.02441570484024555,0.5954377172570168,0.09330400459705979,0.5136896287375567,0.02032834297349445,1.4012886676996117,0.0031057666181704136,28.454972562335794,5.471031211671377,146.36905093453842,27.829796895726933,-0.004793137577087658,0.0032279855190670004,0.55,0.04999999999999999,3.932263135910034,8.414988002547474e-05
Autoformer,3.0536327362060547,0.07175397872924805,1.8215761184692383,0.09564816951751709,-0.08467727899551392,0.00028568506240844727,0.5261428571428024,0.011857142857161662,0.47871306912128375,0.02793586704886164,0.5590609780221546,0.017097962375005604,0.5147626467975703,0.00894869335859988,0.5541970060452888,0.8055461350100783,12.2547215507144,15.336284410385861,117.36583702790925,28.957073131577786,-0.004168968449547283,0.0021183207308187457,0.5523809523809524,0.019047619047619035,4.1873087882995605,2.8228165994237386e-05
TimesNet,3.067000150680542,0.21277856826782227,1.8310798406600952,0.01705491542816162,-0.09411454200744629,0.1000596284866333,0.5312857142856584,0.007285714285693301,0.4798783381883774,0.012386078126602584,0.4989331436698676,0.001066856329966892,0.48912475242516423,0.005924752475262363,3.7343003661158978,1.0708952484669665,47.55975121543521,14.695256210508798,108.93662297153364,59.61724811709766,-0.0016140853009232736,0.0010933045372247263,0.6714285714285715,0.028571428571428525,3.3527252674102783,0.0008002009345402517
V-STGCN,2.904573678970337,0.05991029739379883,1.6324055194854736,0.13560521602630615,0.018490254878997803,0.005898475646972656,0.5209047619047064,0.026238095238072662,0.4796747158439899,0.0016220422606282314,0.7455677182932403,0.10649487061133261,0.5807749143565961,0.031699523225106385,2.074165841056404,1.5557990644701547,54.8789279120309,43.168921198163716,178.83852760168332,15.9383127349043,-0.005694867713248786,0.004161161202202668,0.6238095238095238,0.09047619047619049,-0.40109407901763916,0.6883508599767403
SC-STGCN,2.900137424468994,0.03138589859008789,1.6432899832725525,0.17445117235183716,0.02088063955307007,0.025082170963287354,0.5542380952380359,0.032904761904737345,0.5044551383374986,0.014495298980134463,0.555014931278303,0.03438904223143552,0.528382785301514,0.023555199144641104,2.5250180763316723,0.7391705793611555,57.90204163960048,25.309720243726456,157.71642051900096,26.111357736782168,-0.0032794645050739923,0.0015165473554634712,0.5714285714285714,0.07142857142857145,,
