ticker_i,ticker_j,corr,pvalue,n_obs,rel_type
AAPL,MSFT,0.15560300648212433,0.00356547930277884,349,unconnected
AAPL,AMZN,0.07917188107967377,0.13992652297019958,349,unconnected
AAPL,WMT,0.15051092207431793,0.004836040083318949,349,downstream
AAPL,JPM,0.13461266458034515,0.011828581802546978,349,unconnected
AAPL,LLY,0.12652690708637238,0.01804225891828537,349,unconnected
AAPL,XOM,0.1074138805270195,0.04493493586778641,349,unconnected
AAPL,JNJ,0.11059407144784927,0.038923632353544235,349,unconnected
AAPL,ORCL,0.1367625892162323,0.010533677414059639,349,unconnected
AAPL,COST,0.24676430225372314,3.0749611141800415e-06,349,unconnected
AAPL,NFLX,0.12316419184207916,0.021368417888879776,349,unconnected
AAPL,BAC,0.14201773703098297,0.007882253266870975,349,unconnected
AAPL,ABBV,0.04714185371994972,0.3799370527267456,349,unconnected
AAPL,CAT,0.13397689163684845,0.012237504124641418,349,unconnected
AAPL,CVX,0.09762149304151535,0.06852644681930542,349,unconnected
AAPL,HD,0.15073883533477783,0.004771424923092127,349,unconnected
AAPL,INTC,0.24859356880187988,2.5831009224930312e-06,349,upstream
AAPL,PG,0.15443667769432068,0.003826325759291649,349,unconnected
AAPL,CSCO,0.12236955016851425,0.02222798764705658,349,upstream
AAPL,KO,0.18444128334522247,0.0005341017968021333,349,unconnected
AAPL,GE,0.11368262767791748,0.03375094756484032,349,unconnected
AAPL,AMAT,0.05235461890697479,0.32944902777671814,349,unconnected
AAPL,MS,0.13692978024482727,0.010438483208417892,349,unconnected
AAPL,UNH,0.16254808008670807,0.00231879367493093,349,unconnected
AAPL,MRK,0.10360222309827805,0.05314865708351135,349,unconnected
AAPL,GS,0.12338197976350784,0.021137923002243042,349,unconnected
AAPL,RTX,0.14543521404266357,0.006494866218417883,349,unconnected
AAPL,WFC,0.155002161860466,0.0036977925337851048,349,unconnected
AAPL,PM,0.06811506301164627,0.20429667830467224,349,unconnected
AAPL,IBM,0.15634799003601074,0.003407418495044112,349,upstream
AAPL,AXP,0.17662447690963745,0.000920137797947973,349,unconnected
AAPL,C,0.14621610939502716,0.006210316903889179,349,unconnected
AAPL,MCD,0.15691621601581573,0.0032911438029259443,349,downstream
AAPL,PEP,0.16504019498825073,0.0019788742065429688,349,unconnected
AAPL,TXN,0.0594644695520401,0.2679123878479004,349,upstream
AAPL,VZ,0.12421458959579468,0.02027645893394947,349,downstream
AAPL,AMGN,0.19065116345882416,0.0003412511432543397,349,unconnected
AAPL,NEE,0.09532900154590607,0.07531243562698364,349,unconnected
AAPL,T,0.10612650960683823,0.04758087918162346,349,unconnected
AAPL,BA,0.12511761486530304,0.019376857206225395,349,unconnected
AAPL,TJX,0.1317039132118225,0.013803412206470966,349,unconnected
AAPL,GILD,0.0809420496225357,0.13125422596931458,349,unconnected
AAPL,ABT,0.1529989242553711,0.004171576350927353,349,unconnected
AAPL,SCHW,0.1589706391096115,0.002900205086916685,349,unconnected
AAPL,DE,0.13381925225257874,0.012340860441327095,349,unconnected
AAPL,ETN,0.009257232770323753,0.86318439245224,349,upstream
AAPL,PFE,0.14814305305480957,0.00555544113740325,349,unconnected
AAPL,UNP,0.11475684493780136,0.03209477290511131,349,unconnected
AAPL,WELL,0.06805364787578583,0.2047065645456314,349,unconnected
AAPL,HON,0.18047459423542023,0.0007058306946419179,349,unconnected
MSFT,AMZN,0.09788785129785538,0.06777127832174301,349,unconnected
MSFT,WMT,0.1349819302558899,0.011596689000725746,349,unconnected
MSFT,JPM,0.09279894083738327,0.08342587202787399,349,unconnected
MSFT,LLY,0.08502935618162155,0.1128179058432579,349,unconnected
MSFT,XOM,0.08178068697452545,0.12729322910308838,349,downstream
MSFT,JNJ,0.1353510618209839,0.011368823237717152,349,unconnected
MSFT,ORCL,0.07644573599100113,0.15413232147693634,349,unconnected
MSFT,COST,0.2216426581144333,2.9427990739350207e-05,349,unconnected
MSFT,NFLX,0.040312305092811584,0.45283374190330505,349,downstream
MSFT,BAC,0.09439796209335327,0.07822006195783615,349,downstream
MSFT,ABBV,0.0927482470870018,0.08359526842832565,349,unconnected
MSFT,CAT,0.11226562410593033,0.036046579480171204,349,upstream
MSFT,CVX,0.12154857814311981,0.02314733900129795,349,unconnected
MSFT,HD,0.13714924454689026,0.010314639657735825,349,unconnected
MSFT,INTC,0.09932266920804977,0.06382084637880325,349,bidirectional
MSFT,PG,0.14300574362277985,0.007456245832145214,349,unconnected
MSFT,CSCO,0.17397721111774445,0.0011007426073774695,349,unconnected
MSFT,KO,0.24554412066936493,3.4514994240453234e-06,349,unconnected
MSFT,GE,0.09591694921255112,0.07352196425199509,349,bidirectional
MSFT,AMAT,0.0011852537281811237,0.9823970794677734,349,unconnected
MSFT,MS,0.09284292161464691,0.08327902108430862,349,unconnected
MSFT,UNH,0.1847057342529297,0.0005241615581326187,349,unconnected
MSFT,MRK,0.08449865132570267,0.11509013175964355,349,unconnected
MSFT,GS,0.09657178819179535,0.0715687945485115,349,unconnected
MSFT,RTX,0.029179038479924202,0.586943507194519,349,unconnected
MSFT,WFC,0.10031552612781525,0.061199553310871124,349,unconnected
MSFT,PM,0.19393716752529144,0.00026769295800477266,349,unconnected
MSFT,IBM,0.14886237680912018,0.005327344872057438,349,bidirectional
MSFT,AXP,0.17046304047107697,0.0013909863773733377,349,upstream
MSFT,C,0.10042186081409454,0.060924164950847626,349,unconnected
MSFT,MCD,0.1549408733844757,0.003711530240252614,349,downstream
MSFT,PEP,0.1335381418466568,0.012526982463896275,349,unconnected
MSFT,TXN,0.11067898571491241,0.038772787898778915,349,bidirectional
MSFT,VZ,0.05758906900882721,0.2833234965801239,349,downstream
MSFT,AMGN,0.16975432634353638,0.0014574428787454963,349,unconnected
MSFT,NEE,0.12207388132810593,0.022555336356163025,349,unconnected
MSFT,T,0.11187352240085602,0.036704692989587784,349,unconnected
MSFT,BA,0.0866120234131813,0.10625066608190536,349,downstream
MSFT,TJX,0.15857848525047302,0.0029713890980929136,349,unconnected
MSFT,GILD,0.009326200000941753,0.8621744513511658,349,unconnected
MSFT,ABT,0.1446612924337387,0.006788316648453474,349,unconnected
MSFT,SCHW,0.10251005738973618,0.0557200089097023,349,unconnected
MSFT,DE,0.12965674698352814,0.015361678786575794,349,unconnected
MSFT,ETN,0.10153031349182129,0.05811397358775139,349,unconnected
MSFT,PFE,0.12398218363523483,0.020513828843832016,349,unconnected
MSFT,UNP,0.11572989821434021,0.030654819682240486,349,unconnected
MSFT,WELL,0.030459601432085037,0.5706304311752319,349,unconnected
MSFT,HON,0.08476541191339493,0.11394345015287399,349,unconnected
AMZN,WMT,0.326345831155777,4.194469493956632e-10,349,unconnected
AMZN,JPM,0.25512808561325073,1.3705673609365476e-06,349,unconnected
AMZN,LLY,0.1840820163488388,0.0005478898528963327,349,unconnected
AMZN,XOM,0.14080454409122467,0.008434963412582874,349,unconnected
AMZN,JNJ,0.2645934820175171,5.305041668179911e-07,349,unconnected
AMZN,ORCL,0.12632417678833008,0.018229208886623383,349,downstream
AMZN,COST,0.131333127617836,0.014074869453907013,349,unconnected
AMZN,NFLX,0.18033024668693542,0.0007129518780857325,349,unconnected
AMZN,BAC,0.2676127552986145,3.8886406628080294e-07,349,unconnected
AMZN,ABBV,0.20336788892745972,0.00013042736100032926,349,unconnected
AMZN,CAT,0.22500130534172058,2.2072952560847625e-05,349,unconnected
AMZN,CVX,0.20916344225406647,8.246827928815037e-05,349,unconnected
AMZN,HD,0.29671016335487366,1.5963580679567713e-08,349,unconnected
AMZN,INTC,-0.04074595496058464,0.4479830265045166,349,unconnected
AMZN,PG,0.24870257079601288,2.556312438173336e-06,349,unconnected
