Model,Sample,RMSE,MAE,R2,Sharpe,Hit
AR(1),Pre-COVID,2.903744339942932,1.6262604594230652,0.019303739070892334,3.6500523558451414,0.7619047619047619
LSTM,Pre-COVID,2.9351786375045776,1.6411240100860596,-0.002078801393508911,1.490327522178303,0.6023809523809524
XGBoost,Pre-COVID,3.056461187476459,1.7648850147236388,-0.08885634554926114,2.6072125325039526,0.6214285714285714
V-STGCN,Pre-COVID,2.913629651069641,1.6329920887947083,0.012213796377182007,4.054197180788536,0.7404761904761905
SC-STGCN,Pre-COVID,2.871801018714905,1.6248413920402527,0.04012739658355713,2.432536438095428,0.6357142857142857
