Model,RMSE,RMSE_std,R2,F1,Sharpe
AR(1),3.999617099761963,0.2874293327331543,0.01844179630279541,0.5030212252535717,5.9978861953111196
LSTM,4.0043545961380005,0.2307056188583374,0.01413753628730774,0.5106787082153561,-0.04313030374743243
XGBoost,4.099239927429462,0.2233851486870515,-0.03364747041529759,0.4985707197119065,2.2157022627290264
V-STGCN (binary),4.019701957702637,0.22165822982788086,0.00617903470993042,0.4009165302319345,1.563304310538083
SC-STGCN (binary),3.910938262939453,0.20289230346679688,0.05873033404350281,0.5271314180822722,3.054837651548354
SC-STGCN (weighted),3.9426294565200806,0.26794707775115967,0.045727699995040894,0.5136263735776365,2.4721016225877133
