Model,MSE (scaled),RMSE (scaled),MAE (scaled),R² (scaled),MSE (bp²),RMSE (bp),MAE (bp),R² (bp),MAPE (%),BT Mean PnL$,BT Sharpe,Hit Ratio,Max Drawdown,Calmar Ratio,Total Return%
AR(1),0.265454,0.515223,0.323863,0.0084,2.604,1.6137,0.9981,-0.0001,98.38,65.89,6.109,0.826,-0.001,25.773,1.52
LSTM,0.246979,0.49697,0.313009,0.0774,2.546,1.5956,0.9786,0.0222,96.19,71.98,5.344,0.826,-0.001,42.693,1.66
XGBoost,0.423114,0.650472,0.432702,-0.5806,8.7599,2.9597,1.4876,-2.3643,142.35,31.2,2.134,0.565,-0.002,7.403,0.72
V-STGCN,0.240364,0.490269,0.315855,0.1021,2.5697,1.603,0.9953,0.0131,99.17,27.7,2.146,0.609,-0.004,3.95,0.64
SC-STGCN,0.262126,0.511982,0.318826,0.0208,2.6622,1.6316,0.9983,-0.0224,98.19,37.67,2.524,0.609,-0.004,5.112,0.87
